종목번호,종목명,현재가,대비,등락률,거래량
053610,프로텍,"67,600",▼,"-6,300","-8.53%","173,574"
053800,안랩,"56,400",▼,"-2,200","-3.75%","89,745"
054950,제이브이엠,"21,400",▼,"-750","-3.39%","74,732"
055550,신한지주,"97,000",▼,"-10,500","-9.77%","3,290,733"
056190,에스에프에이,"23,150",▼,"-2,400","-9.39%","215,498"
057050,현대홈쇼핑,"72,500",▼,"-3,800","-4.98%","12,465"
058470,리노공업,"86,900",▼,"-7,200","-7.65%","1,271,876"
058610,에스피지,"96,100",▼,"-7,600","-7.33%","463,827"
058970,엠로,"21,050",▼,"-1,550","-6.86%","125,618"
059090,미코,"17,860",▼,"-3,140","-14.95%","980,575"
060370,LS마린솔루션,"27,600",▼,"-2,800","-9.21%","341,272"
060980,HL홀딩스,"40,800",▼,"-2,200","-5.12%","48,811"
061090,세나테크놀로지,"43,600",▼,"-6,500","-12.97%","127,704"
062040,산일전기,"216,000",▼,"-5,000","-2.26%","513,381"
064350,현대로템,"175,100",▼,"-16,300","-8.52%","693,313"
064400,LG씨엔에스,"109,200",▼,"-8,300","-7.06%","6,179,611"
064550,바이오니아,"7,250",▼,"-820","-10.16%","298,741"
064760,티씨케이,"234,500",▼,"-29,500","-11.17%","84,129"
064820,케이프,"9,570",▼,"-640","-6.27%","185,772"
064960,SNT모티브,"27,200",▼,"-1,450","-5.06%","145,999"
065350,신성델타테크,"38,000",▼,"-2,600","-6.40%","295,624"
065660,안트로젠,"25,150",▼,"-1,250","-4.73%","69,332"
065680,우주일렉트로,"35,800",▼,"-5,700","-13.73%","84,035"
066570,LG전자,"268,500",▼,"-34,500","-11.39%","9,328,979"
066970,엘앤에프,"124,800",▼,"-15,100","-10.79%","718,725"
067080,대화제약,"10,360",▼,"-1,310","-11.23%","110,627"
067160,SOOP,"46,650",▼,"-1,600","-3.32%","77,629"
068270,셀트리온,"159,200",▼,"-12,200","-7.12%","1,230,731"
068760,셀트리온제약,"40,350",▼,"-3,400","-7.77%","241,580"
069080,웹젠,"9,680",▼,"-420","-4.16%","122,965"
069260,TKG휴켐스,"15,400",▼,"-550","-3.45%","180,156"
069620,대웅제약,"117,700",▼,"-3,400","-2.81%","47,565"
069960,현대백화점,"146,200",▼,"-300","-0.20%","369,449"
071050,한국금융지주,"221,500",▼,"-25,000","-10.14%","406,733"
071320,지역난방공사,"65,600",▼,"-2,700","-3.95%","35,033"
071970,HD현대마린엔진,"59,800",▼,"-6,000","-9.12%","392,584"
072710,농심홀딩스,"86,800",▼,"-2,000","-2.25%","12,622"
073240,금호타이어,"4,375",▼,"-275","-5.91%","1,199,108"
074600,원익QnC,"30,600",▼,"-3,750","-10.92%","514,260"
075580,세진중공업,"12,730",▼,"-1,600","-11.17%","359,606"
077970,STX엔진,"30,400",▼,"-3,200","-9.52%","507,586"
078160,메디포스트,"9,800",▼,"-860","-8.07%","323,970"
078340,컴투스,"25,400",▼,"-650","-2.50%","96,771"
078350,한양디지텍,"23,250",▼,"-3,150","-11.93%","515,906"
078520,에이블씨엔씨,"10,160",▼,"-950","-8.55%","126,841"
078600,대주전자재료,"108,400",▼,"-13,700","-11.22%","341,698"
078930,GS,"69,600",▼,"-4,500","-6.07%","349,207"
079550,LIG디펜스앤에어로스페이스,"673,000",▼,"-53,000","-7.30%","251,127"
079900,전진건설로봇,"48,750",▼,"-5,250","-9.72%","143,180"
079940,가비아,"29,350",▼,"-1,550","-5.02%","24,411"
081660,미스토홀딩스,"37,850",▼,"-1,700","-4.30%","277,993"
082270,젬백스,"11,520",▼,"-1,680","-12.73%","489,397"
082740,한화엔진,"51,400",▼,"-4,900","-8.70%","918,746"
082920,비츠로셀,"46,000",▼,"-2,650","-5.45%","609,299"
083450,GST,"47,100",▼,"-4,600","-8.90%","449,015"
083650,비에이치아이,"59,900",▼,"-7,400","-11.00%","536,137"
084010,대한제강,"7,660",▼,"-510","-6.24%","128,909"
084110,휴온스글로벌,"25,600",▼,"-2,600","-9.22%","123,790"
084370,유진테크,"132,400",▼,"-24,500","-15.62%","327,336"
084690,대상홀딩스,"7,910",▼,"-400","-4.81%","356,316"
084850,아이티엠반도체,"10,580",▼,"-890","-7.76%","67,928"
085620,미래에셋생명,"20,200",▲,"1,610","+8.66%","18,349,426"
085660,차바이오텍,"11,270",▼,"-1,040","-8.45%","726,790"
086280,현대글로비스,"192,300",▼,"-17,200","-8.21%","479,180"
086390,유니테스트,"12,630",▼,"-1,480","-10.49%","303,134"
086450,동국제약,"16,600",▼,"-1,140","-6.43%","610,224"
086520,에코프로,"105,400",▼,"-13,100","-11.05%","2,419,565"
086790,하나금융지주,"113,400",▼,"-10,200","-8.25%","1,349,648"
086900,메디톡스,"77,000",▼,"-7,700","-9.09%","113,181"
087010,펩트론,"232,500",▼,"-21,000","-8.28%","410,756"
089010,켐트로닉스,"27,350",▼,"-2,700","-8.99%","465,743"
089860,롯데렌탈,"29,600",▼,"-450","-1.50%","64,469"
089890,코세스,"30,200",▼,"-5,800","-16.11%","216,059"
089970,브이엠,"62,500",▼,"-5,500","-8.09%","911,845"
089980,상아프론테크,"16,900",▼,"-2,090","-11.01%","142,428"
090360,로보스타,"132,800",▼,"-15,300","-10.33%","4,913,124"
090430,아모레퍼시픽,"104,400",▼,"-3,100","-2.88%","336,300"
090460,비에이치,"26,650",▼,"-2,050","-7.14%","1,055,191"
092230,KPX홀딩스,"78,800",▼,"-1,400","-1.75%","3,787"
092460,한라IMS,"17,750",▼,"-1,680","-8.65%","149,849"
092730,네오팜,"16,520",▼,"-320","-1.90%","42,692"
092790,넥스틸,"13,650",▲,"60","+0.44%","3,180,503"
093050,LF,"20,400",▼,"-1,000","-4.67%","38,169"
093320,케이아이엔엑스,"111,800",▼,"-1,600","-1.41%","20,333"
093370,후성,"11,280",▼,"-350","-3.01%","3,413,339"
093520,매커스,"19,290",▼,"-1,510","-7.26%","66,582"
094170,동운아나텍,"34,100",▼,"-4,550","-11.77%","270,879"
094360,칩스앤미디어,"12,790",▼,"-1,720","-11.85%","282,681"
095340,ISC,"177,500",▼,"-24,500","-12.13%","285,039"
095500,미래나노텍,"6,570",▼,"-730","-10.00%","377,594"
095610,테스,"134,200",▼,"-5,000","-3.59%","815,010"
095660,네오위즈,"18,840",▼,"-230","-1.21%","212,443"
096530,씨젠,"27,250",▼,"-2,600","-8.71%","564,398"
096770,SK이노베이션,"104,200",▼,"-10,700","-9.31%","899,786"
097520,엠씨넥스,"19,490",▼,"-1,110","-5.39%","179,424"
097950,CJ제일제당,"196,500",▼,"-3,500","-1.75%","98,519"
098070,한텍,"31,150",▼,"-2,650","-7.84%","103,583"
099190,아이센스,"15,940",▼,"-760","-4.55%","158,273"
099320,쎄트렉아이,"107,000",▼,"-12,400","-10.39%","152,724"
100090,SK오션플랜트,"14,200",▼,"-1,580","-10.01%","841,923"
100840,SNT에너지,"30,650",▼,"-3,250","-9.59%","367,916"
101160,월덱스,"23,350",▼,"-1,450","-5.85%","189,764"
101360,에코앤드림,"11,010",▼,"-1,140","-9.38%","219,960"
101490,에스앤에스텍,"54,400",▼,"-7,900","-12.68%","473,361"
101730,위메이드맥스,"3,325",▼,"-340","-9.28%","167,878"
101930,인화정공,"8,480",▼,"-770","-8.32%","95,527"
102710,이엔에프테크놀로지,"38,850",▼,"-3,050","-7.28%","168,309"
102940,코오롱생명과학,"44,450",▼,"-4,050","-8.35%","50,385"
103140,풍산,"67,200",▼,"-5,100","-7.05%","271,425"
103590,일진전기,"74,800",▼,"-6,400","-7.88%","486,345"
104700,한국철강,"8,130",▼,"-130","-1.57%","87,027"
104830,원익머트리얼즈,"37,800",▼,"-3,300","-8.03%","68,110"
105560,KB금융,"152,800",▼,"-18,800","-10.96%","2,858,381"
105630,한세실업,"8,340",▼,"-510","-5.76%","118,421"
107640,한중엔시에스,"39,500",▼,"-3,750","-8.67%","209,722"
108320,LX세미콘,"48,100",▼,"-3,800","-7.32%","213,442"
108380,대양전기공업,"17,240",▼,"-1,300","-7.01%","67,981"
108490,로보티즈,"292,000",▼,"-28,500","-8.89%","511,875"
108670,LX하우시스,"30,800",▼,"-1,450","-4.50%","46,361"
108860,셀바스AI,"8,460",▼,"-1,070","-11.23%","574,427"
110990,디아이티,"19,500",▼,"-2,050","-9.51%","215,233"
111770,영원무역,"74,100",▼,"-5,700","-7.14%","86,858"
112040,위메이드,"16,900",▼,"-1,520","-8.25%","221,715"
112610,씨에스윈드,"40,700",▼,"-3,150","-7.18%","361,756"
114090,GKL,"11,530",▼,"-330","-2.78%","541,118"
114190,강원에너지,"8,640",▼,"-900","-9.43%","248,175"
114810,한솔아이원스,"11,630",▼,"-1,320","-10.19%","490,175"
114840,아이패밀리에스씨,"9,060",▼,"-920","-9.22%","128,354"
115180,큐리언트,"23,500",▼,"-2,850","-10.82%","192,116"
117730,티로보틱스,"15,730",▼,"-1,040","-6.20%","299,007"
119850,지엔씨에너지,"18,490",▼,"-2,210","-10.68%","270,724"
120110,코오롱인더,"61,300",▼,"-4,600","-6.98%","711,377"
121600,나노신소재,"53,500",▼,"-4,400","-7.60%","186,674"
122640,예스티,"22,750",▼,"-2,800","-10.96%","490,867"
122870,와이지엔터테인먼트,"40,200",▼,"-1,350","-3.25%","192,945"
124500,아이티센글로벌,"39,400",▼,"-3,600","-8.37%","313,275"
126340,비나텍,"105,300",▼,"-16,300","-13.40%","133,659"
126720,수산인더스트리,"22,550",▼,"-1,050","-4.45%","50,219"
127120,제이에스링크,"32,450",▼,"-7,250","-18.26%","576,750"
128940,한미약품,"410,500",▼,"-83,500","-16.90%","369,325"
131970,두산테스나,"122,000",▼,"-13,600","-10.03%","457,474"
